a_a_fredericks	location	louisiana
a_a_heaps	ethnicity	jew
a_a_heaps	gender	male
a_a_heaps	location	leeds
a_a_heaps	nationality	canada
a_a_heaps	profession	politician
a_a_k_niazi	gender	male
a_a_k_niazi	nationality	pakistan
a_a_k_niazi	nationality	united_kingdom
a_a_k_niazi	place_of_death	lahore
a_a_milne	institution	trinity_college_cambridge
a_b_a_ghani_khan_choudhury	gender	female
a_b_a_ghani_khan_choudhury	gender	male
a_b_a_ghani_khan_choudhury	location	west_bengal
a_b_a_ghani_khan_choudhury	nationality	india
a_b_a_ghani_khan_choudhury	place_of_death	calcutta
a_b_a_ghani_khan_choudhury	profession	politician
a_b_a_ghani_khan_choudhury	religion	islam
a_b_frost	location	philadelphia
a_bartlett_giamatti	cause_of_death	cardiovascular_disease
a_bartlett_giamatti	gender	male
a_bartlett_giamatti	institution	phillips_academy
a_bartlett_giamatti	institution	yale_university
a_bartlett_giamatti	location	boston_massachusetts
a_bartlett_giamatti	nationality	united_states
a_bartlett_giamatti	place_of_birth	boston_massachusetts
a_bartlett_giamatti	profession	university_president
a_bartlett_giamatti	religion	agnosticism
a_bruce_bielaski	location	maryland
a_c_benson	institution	magdalene_college_cambridge
a_c_bhaktivedanta_swami_prabhupada	location	calcutta
a_c_bhaktivedanta_swami_prabhupada	nationality	india
a_c_bhaktivedanta_swami_prabhupada	place_of_birth	calcutta
a_d_bohra	gender	male
a_d_bohra	location	rajasthan
a_d_bohra	profession	engineer
a_d_bruce	institution	texas_a_m_university
a_d_bruce	place_of_birth	st_louis_missouri
a_d_gordon	place_of_birth	podolia
a_d_hope	institution	university_of_oxford
a_d_hope	nationality	australia
a_david_mazzone	gender	male
a_david_mazzone	nationality	united_states
a_david_mazzone	place_of_death	wakefield_massachusetts
a_david_mazzone	profession	lawyer
a_e_doyle	gender	male
a_e_doyle	location	portland
a_e_doyle	nationality	united_states
a_e_doyle	profession	architect
a_e_housman	institution	st_johns_college_oxford
a_e_j_collins	gender	male
a_e_j_collins	institution	royal_military_academy
a_e_j_collins	institution	the_catholic_university_of_america
a_e_j_collins	nationality	england
a_e_j_collins	nationality	trinidad_and_tobago
a_e_j_collins	nationality	united_kingdom
a_e_j_collins	place_of_death	ypres
a_e_j_collins	profession	engineer
a_e_j_collins	profession	urban_planner
a_e_matthews	gender	male
a_e_matthews	location	bridlington
a_e_matthews	nationality	england
a_e_matthews	nationality	united_kingdom
a_e_van_vogt	place_of_death	los_angeles
a_edward_sutherland	nationality	ghana
a_edward_sutherland	place_of_death	palm_springs
a_edward_sutherland	spouse	louise_brooks
a_f_lafir	gender	male
a_f_lafir	place_of_birth	kandy
a_f_lafir	place_of_death	mullaitivu
a_f_m_ahsanuddin_chowdhury	gender	male
a_f_m_ahsanuddin_chowdhury	place_of_birth	mymensingh_district
a_f_m_ahsanuddin_chowdhury	place_of_death	dhaka
a_f_m_ahsanuddin_chowdhury	religion	islam
a_g_heaton	gender	male
a_g_heaton	nationality	united_states
a_g_heaton	profession	artist
a_g_macdonell	gender	male
a_g_macdonell	institution	winchester_college
a_g_macdonell	nationality	scotland
a_g_macdonell	profession	broadcaster
a_g_macdonell	profession	writer
a_grant_evans	cause_of_death	stroke
a_grant_evans	gender	male
a_grant_evans	nationality	united_states
a_grant_evans	place_of_birth	chennai
a_grant_evans	place_of_death	santa_barbara
a_harry_moore	gender	male
a_harry_moore	institution	rutgers_university
a_harry_moore	nationality	united_states
a_harry_moore	place_of_birth	jersey_city
a_j_casson	gender	male
a_j_casson	location	toronto
a_j_casson	nationality	canada
a_j_casson	profession	artist
a_j_cronin	gender	male
a_j_cronin	institution	university_of_glasgow
a_j_cronin	location	glasgow
a_j_cronin	location	london
a_j_cronin	nationality	scotland
a_j_cronin	nationality	united_kingdom
a_j_cronin	place_of_death	montreux
a_j_cronin	profession	doctor_of_medicine
a_j_cronin	profession	novelist
a_j_cronin	profession	physician
a_j_cronin	profession	sailor
a_j_cronin	profession	screenwriter
a_j_cronin	profession	writer
a_j_p_taylor	gender	male
a_j_p_taylor	institution	oriel_college
a_j_p_taylor	institution	st_marys_college_oscott
a_j_p_taylor	nationality	england
a_j_p_taylor	nationality	united_kingdom
a_j_p_taylor	place_of_death	london
a_j_p_taylor	profession	writer
