who is the heir of charles_lennox_2nd_duke_of_richmond 's mother ?	anne_van_keppel_countess_of_albemarle	charles_lennox_2nd_duke_of_richmond#parents#charles_lennox_1st_duke_of_richmond#children#anne_van_keppel_countess_of_albemarle#<end>#anne_van_keppel_countess_of_albemarle
what is the louis_of_bourbon_duke_of_orleans 's parent 's daughter ?	duc_dorleans	louis_of_bourbon_duke_of_orleans#parents#francoise_marie_de_bourbon#children#duc_dorleans#<end>#duc_dorleans
what does thomas_thynne_2nd_viscount_weymouth 's kid do for a living?	politician	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#profession#politician#<end>#politician
the gender of father of mikolaj_vii_radziwill ?	female	mikolaj_vii_radziwill#parents#katarzyna_tomicka#gender#female#<end>#female
the occupation of henry_iv_of_england 's heir ?	monarch	henry_iv_of_england#children#henry_v_of_england#profession#monarch#<end>#monarch
what does william_talbot 's daughter do for a living?	lawyer	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#lawyer#<end>#lawyer
samuel_gridley_howe 's husband 's religious belief ?	unitarian_universalism	samuel_gridley_howe#spouse#julia_ward_howe#religion#unitarian_universalism#<end>#unitarian_universalism
the address of children of johann_conrad_weiser_sr ?	baden-wurttemberg	johann_conrad_weiser_sr#children#conrad_weiser#location#baden-wurttemberg#<end>#baden-wurttemberg
what is the vratislaus_ii_of_bohemia 's mom 's nationality ?	germany	vratislaus_ii_of_bohemia#parents#judith_of_schweinfurt#nationality#germany#<end>#germany
what is the harry_hay 's other half 's sex ?	male	harry_hay#spouse#john_burnside_1916#gender#male#<end>#male
hortense_de_beauharnais 's daughter 's gender ?	male	hortense_de_beauharnais#children#napoleon_iii_of_france#gender#male#<end>#male
the gender of dad of boleslaw_ii_of_poland ?	male	boleslaw_ii_of_poland#parents#casimir_i_of_poland#gender#male#<end>#male
what is the cause of death of srinagarindra 's children ?	firearm	srinagarindra#children#ananda_mahidol#cause_of_death#firearm#<end>#firearm
what made the phillip_terry 's spousedead ?	pancreatic_cancer	phillip_terry#spouse#joan_crawford#cause_of_death#pancreatic_cancer#<end>#pancreatic_cancer
what is the archduke_louis_of_austria 's parent 's son ?	archduke_joseph_of_austria_palatine_of_hungary	archduke_louis_of_austria#parents#leopold_ii_holy_roman_emperor#children#archduke_joseph_of_austria_palatine_of_hungary#<end>#archduke_joseph_of_austria_palatine_of_hungary
the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
what is the nationality of john_spencer_churchill_7th_duke_of_marlborough 's daughter ?	united_kingdom	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#united_kingdom#<end>#united_kingdom
mary_de_bohun 's kid 's nationality ?	england	mary_de_bohun#children#philippa_of_england#nationality#england#<end>#england
what is blessed_virgin_mary 's kid working on ?	carpenter	blessed_virgin_mary#children#jesus#profession#carpenter#<end>#carpenter
what is the aelia_eudoxia 's husband 's spouse ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
